"Rank","Player","Team","Position","Points","Games","Avg"
"1","Lamar Jackson","BAL","QB","34.9","1","34.9"
"2","Derrick Henry","TEN","RB","34.2","1","34.2"
"3","Baker Mayfield","CLE","QB","31.0","1","31.0"
"4","Aaron Rodgers","GB","QB","30.9","1","30.9"
"5","Jonathan Taylor","IND","RB","28.5","1","28.5"
"6","Tua Tagovailoa","MIA","QB","28.0","1","28.0"
"7","Derek Carr","LV","QB","25.8","1","25.8"
"8","Miles Sanders","PHI","RB","25.6","1","25.6"
"8","Drew Lock","DEN","QB","25.6","1","25.6"
"10","Mitchell Trubisky","CHI","QB","25.0","1","25.0"
"11","Russell Wilson","SEA","QB","23.1","1","23.1"
"11","Tyreek Hill","KC","WR","23.1","1","23.1"
"13","Washington Football Team","WAS","DST","23.0","1","23.0"
"13","Kareem Hunt","CLE","RB","23.0","1","23.0"
"15","Nick Chubb","CLE","RB","22.3","1","22.3"
"16","Patrick Mahomes II","KC","QB","21.6","1","21.6"
"17","David Montgomery","CHI","RB","21.5","1","21.5"
"18","Mike Davis","CAR","RB","21.3","1","21.3"
"19","Los Angeles Rams","LAR","DST","21.0","1","21.0"
"20","KJ Hamler","DEN","WR","20.6","1","20.6"
"20","T.Y. Hilton","IND","WR","20.6","1","20.6"
"22","Teddy Bridgewater","CAR","QB","20.4","1","20.4"
"23","Taysom Hill","NO","QB","19.9","1","19.9"
"24","Travis Kelce","KC","TE","19.6","1","19.6"
"25","Cam Akers","LAR","RB","19.4","1","19.4"
"26","Jalen Hurts","PHI","QB","19.3","1","19.3"
"26","Josh Allen","BUF","QB","19.3","1","19.3"
"28","Stefon Diggs","BUF","WR","19.1","1","19.1"
"29","Kyler Murray","ARI","QB","18.5","1","18.5"
"29","Mike Gesicki","MIA","TE","18.5","1","18.5"
"31","Calvin Ridley","ATL","WR","18.4","1","18.4"
"32","Allen Robinson II","CHI","WR","18.3","1","18.3"
"33","Arizona Cardinals","ARI","DST","18.0","1","18.0"
"33","Dallas Cowboys","DAL","DST","18.0","1","18.0"
"35","Philip Rivers","IND","QB","17.8","1","17.8"
"36","Davante Adams","GB","WR","17.5","1","17.5"
"37","Gus Edwards","BAL","RB","17.3","1","17.3"
"38","A.J. Brown","TEN","WR","17.2","1","17.2"
"39","Kirk Cousins","MIN","QB","17.1","1","17.1"
"40","Chicago Bears","CHI","DST","17.0","1","17.0"
"40","Dalvin Cook","MIN","RB","17.0","1","17.0"
"42","Justin Herbert","LAC","QB","16.7","1","16.7"
"43","Deshaun Watson","HOU","QB","16.6","1","16.6"
"44","Ryan Tannehill","TEN","QB","16.5","1","16.5"
"45","Nelson Agholor","LV","WR","16.0","1","16.0"
"46","Chris Carson","SEA","RB","15.8","1","15.8"
"47","Jared Goff","LAR","QB","15.6","1","15.6"
"47","Tom Brady","TB","QB","15.6","1","15.6"
"49","Ben Roethlisberger","PIT","QB","15.5","1","15.5"
"50","Alvin Kamara","NO","RB","15.4","1","15.4"
"51","Andy Dalton","DAL","QB","15.3","1","15.3"
"52","Kenyan Drake","ARI","RB","15.0","1","15.0"
"53","Austin Ekeler","LAC","RB","14.6","1","14.6"
"54","Marquez Valdes-Scantling","GB","WR","14.5","1","14.5"
"55","Matthew Stafford","DET","QB","14.4","1","14.4"
"55","Ronald Jones II","TB","RB","14.4","1","14.4"
"57","Kansas City Chiefs","KC","DST","14.0","1","14.0"
"57","Greg Zuerlein","DAL","K","14.0","1","14.0"
"57","Mike Nugent","ARI","K","14.0","1","14.0"
"57","Rodrigo Blankenship","IND","K","14.0","1","14.0"
