"Rank","Player","REC","TGT","RE_YDS","Y/R","LG","20+","RE_TD","RU_ATT","RU_YDS","RU_TD","FL","G","FPTS","FPTS/G","OWN"
"1","Travis Kelce (KC)","105","145","1,416","13.5","45","0","11","0","0","0","1","15","207.8","13.9","100.0%"
"2","Darren Waller (LV)","107","145","1,196","11.2","38","0","9","0","0","0","2","16","171.6","10.7","99.9%"
"3","Robert Tonyan (GB)","52","59","586","11.3","45","0","11","0","0","0","0","16","124.6","7.8","90.3%"
"4","Mark Andrews (BAL)","58","88","701","12.1","39","0","7","0","0","0","0","14","112.1","8.0","99.1%"
"5","T.J. Hockenson (DET)","67","101","723","10.8","51","0","6","1","0","0","1","16","108.3","6.8","97.6%"
"6","Mike Gesicki (MIA)","53","85","703","13.3","70","0","6","0","0","0","0","15","106.3","7.1","84.6%"
"7","Logan Thomas (WAS)","72","110","670","9.3","30","0","6","3","5","0","0","16","104.6","6.5","92.0%"
"8","Rob Gronkowski (TB)","45","77","623","13.8","48","0","7","0","0","0","0","16","104.3","6.5","74.5%"
"9","Jonnu Smith (NE)","41","65","448","10.9","63","0","8","2","4","1","0","15","99.2","6.6","65.6%"
"10","Jimmy Graham (CHI)","50","76","456","9.1","30","0","8","0","0","0","0","16","93.6","5.9","2.1%"
"11","Hayden Hurst (ATL)","56","88","571","10.2","42","0","6","0","0","0","0","16","93.1","5.8","6.7%"
"12","Jared Cook (LAC)","37","60","504","13.6","46","0","7","0","0","0","1","15","90.4","6.0","20.4%"
"13","Noah Fant (DEN)","62","93","673","10.9","37","0","3","0","0","0","0","15","87.3","5.8","90.5%"
"14","Eric Ebron (PIT)","56","91","558","10.0","27","0","5","0","0","0","1","15","85.8","5.7","25.9%"
"15","Hunter Henry (NE)","60","93","613","10.2","33","0","4","0","0","0","0","14","85.3","6.1","61.1%"
"16","Tyler Higbee (LAR)","44","60","521","11.8","44","0","5","1","1","0","0","15","84.2","5.6","71.3%"
"17","Dalton Schultz (DAL)","63","89","615","9.8","28","0","4","0","0","0","1","16","83.5","5.2","1.6%"
"18","Evan Engram (NYG)","63","109","654","10.4","53","0","1","6","26","1","1","16","78.0","4.9","58.2%"
"19","George Kittle (SF)","48","63","634","13.2","44","0","2","2","17","0","0","8","77.1","9.6","99.9%"
"20","Dallas Goedert (PHI)","46","65","524","11.4","41","0","3","0","0","0","0","11","70.4","6.4","91.2%"
"21","Irv Smith Jr. (MIN)","30","43","365","12.2","36","0","5","0","0","0","0","13","68.5","5.3","75.4%"
