"Rank","Player","REC","TGT","RE_YDS","Y/R","LG","20+","RE_TD","RU_ATT","RU_YDS","RU_TD","FL","G","FPTS","FPTS/G","OWN"
"1","Davante Adams (GB)","115","149","1,374","11.9","56","0","18","0","0","0","1","14","243.4","17.4","100.0%"
"2","Tyreek Hill (KC)","87","135","1,276","14.7","75","0","15","13","123","2","0","15","241.9","16.1","100.0%"
"3","Stefon Diggs (BUF)","127","166","1,535","12.1","55","0","8","1","1","0","0","16","201.6","12.6","100.0%"
"4","Calvin Ridley (ATL)","90","143","1,374","15.3","63","0","9","5","1","0","1","15","191.5","12.8","99.9%"
"5","D.K. Metcalf (SEA)","83","129","1,303","15.7","62","0","10","0","0","0","1","16","188.3","11.8","99.9%"
"6","Justin Jefferson (MIN)","88","125","1,400","15.9","71","0","7","1","2","0","0","16","186.2","11.6","99.9%"
"7","Adam Thielen (MIN)","74","108","925","12.5","51","0","14","3","15","0","0","15","180.0","12.0","97.2%"
"8","Mike Evans (TB)","70","109","1,006","14.4","50","0","13","0","0","0","0","16","178.6","11.2","99.2%"
"9","A.J. Brown (TEN)","70","106","1,075","15.4","73","0","11","0","0","0","1","14","177.5","12.7","99.9%"
"10","DeAndre Hopkins (ARI)","115","160","1,407","12.2","60","0","6","1","1","0","2","16","172.8","10.8","100.0%"
"11","Tyler Lockett (SEA)","100","132","1,054","10.5","47","0","10","0","0","0","0","16","165.4","10.3","96.8%"
"12","Allen Robinson II (CHI)","102","151","1,250","12.3","42","0","6","1","-1","0","0","16","160.9","10.1","99.0%"
"13","Robert Woods (LAR)","90","129","936","10.4","56","0","6","24","155","2","1","16","155.1","9.7","97.5%"
"14","Chase Claypool (PIT)","62","109","873","14.1","84","0","9","10","16","2","1","16","152.9","9.6","91.3%"
"15","Marvin Jones Jr. (JAC)","76","115","978","12.9","43","0","9","0","0","0","0","16","151.8","9.5","62.0%"
"16","Brandin Cooks (HOU)","81","119","1,150","14.2","57","0","6","0","0","0","0","15","151.0","10.1","84.8%"
"17","D.J. Moore (CAR)","66","118","1,193","18.1","74","0","4","2","22","0","0","15","145.5","9.7","95.6%"
"18","Keenan Allen (LAC)","100","147","992","9.9","28","0","8","1","-1","0","2","14","145.1","10.4","99.3%"
"19","Amari Cooper (DAL)","92","130","1,114","12.1","69","0","5","6","14","0","0","16","144.8","9.1","97.4%"
"20","CeeDee Lamb (DAL)","74","111","935","12.6","52","0","5","10","82","1","1","16","143.7","9.0","98.9%"
"21","Nelson Agholor (NE)","48","82","896","18.7","85","0","8","0","0","0","0","16","137.6","8.6","35.0%"
"22","JuJu Smith-Schuster (PIT)","97","128","831","8.6","31","0","9","0","0","0","1","16","137.1","8.6","90.9%"
"23","Terry McLaurin (WAS)","87","134","1,118","12.9","68","0","4","2","30","0","1","15","136.8","9.1","99.2%"
"24","Will Fuller V (MIA)","53","75","879","16.6","77","0","8","1","0","0","0","11","135.9","12.4","76.1%"
"25","Curtis Samuel (WAS)","77","97","851","11.1","44","0","3","41","200","2","0","15","135.1","9.0","71.1%"
"26","Diontae Johnson (PIT)","88","144","923","10.5","47","0","7","3","15","0","1","15","133.8","8.9","94.0%"
"27","Robby Anderson (CAR)","95","136","1,096","11.5","75","0","3","4","15","0","1","16","129.2","8.1","89.4%"
"28","Tee Higgins (CIN)","67","108","908","13.6","67","0","6","5","28","0","1","16","127.6","8.0","91.1%"
"29","Corey Davis (NYJ)","65","92","984","15.1","75","0","5","0","0","0","1","14","126.4","9.0","71.0%"
"30","Chris Godwin (TB)","65","84","840","12.9","47","0","7","0","0","0","0","12","126.0","10.5","97.8%"
"31","Cole Beasley (BUF)","82","107","967","11.8","35","0","4","0","0","0","0","15","125.5","8.4","56.8%"
