"Rank","Player","Team","Position","Points","Games","Avg"
"1","Derek Carr","LV","QB","32.7","1","32.7"
"2","Darren Waller","LV","TE","32.0","1","32.0"
"3","New England Patriots","NE","DST","31.0","1","31.0"
"4","Josh Allen","BUF","QB","30.1","1","30.1"
"5","Ryan Tannehill","TEN","QB","28.6","1","28.6"
"6","Baker Mayfield","CLE","QB","28.5","1","28.5"
"7","Matthew Stafford","DET","QB","27.1","1","27.1"
"8","Lamar Jackson","BAL","QB","26.7","1","26.7"
"9","Corey Davis","TEN","WR","24.2","1","24.2"
"10","Davante Adams","GB","WR","24.1","1","24.1"
"10","Jared Goff","LAR","QB","24.1","1","24.1"
"12","Taysom Hill","NO","QB","23.6","1","23.6"
"12","Cam Newton","NE","QB","23.6","1","23.6"
"14","Aaron Rodgers","GB","QB","23.5","1","23.5"
"15","David Montgomery","CHI","RB","23.1","1","23.1"
"16","Nick Mullens","SF","QB","22.6","1","22.6"
"17","Kirk Cousins","MIN","QB","22.4","1","22.4"
"18","Sam Darnold","NYJ","QB","21.0","1","21.0"
"19","Aaron Jones","GB","RB","20.8","1","20.8"
"20","Deshaun Watson","HOU","QB","20.4","1","20.4"
"21","Travis Kelce","KC","TE","19.6","1","19.6"
"22","Jonathan Taylor","IND","RB","19.5","1","19.5"
"23","Patrick Mahomes II","KC","QB","19.3","1","19.3"
"24","Ben Roethlisberger","PIT","QB","19.2","1","19.2"
"24","Philip Rivers","IND","QB","19.2","1","19.2"
"26","Cole Beasley","BUF","WR","19.0","1","19.0"
"27","Andy Dalton","DAL","QB","18.6","1","18.6"
"28","Justin Jefferson","MIN","WR","18.3","1","18.3"
"29","Dan Arnold","ARI","TE","18.1","1","18.1"
"30","Dalvin Cook","MIN","RB","17.9","1","17.9"
"31","Adrian Peterson","DET","RB","17.7","1","17.7"
"31","Ty Johnson","Multi","RB","17.7","1","17.7"
"33","Marvin Jones Jr.","DET","WR","17.6","1","17.6"
"34","Kyler Murray","ARI","QB","17.4","1","17.4"
"35","Harrison Butker","KC","K","17.0","1","17.0"
"35","Chris Carson","SEA","RB","17.0","1","17.0"
"35","T.Y. Hilton","IND","WR","17.0","1","17.0"
"38","James Robinson","JAC","RB","16.8","1","16.8"
"39","Jamison Crowder","NYJ","WR","16.7","1","16.7"
"40","Nick Chubb","CLE","RB","16.6","1","16.6"
"41","Alfred Morris","NYG","RB","16.5","1","16.5"
"42","Tim Patrick","DEN","WR","16.4","1","16.4"
"43","Tua Tagovailoa","MIA","QB","16.1","1","16.1"
"44","Russell Wilson","SEA","QB","16.0","1","16.0"
"45","Logan Thomas","WAS","TE","15.8","1","15.8"
"45","Alex Smith","WAS","QB","15.8","1","15.8"
"45","Gunner Olszewski","NE","WR","15.8","1","15.8"
"48","Alvin Kamara","NO","RB","15.7","1","15.7"
"49","Brandon Aiyuk","SF","WR","15.5","1","15.5"
"49","Rashard Higgins","CLE","WR","15.5","1","15.5"
"51","Cam Akers","LAR","RB","15.4","1","15.4"
"52","Donovan Peoples-Jones","CLE","WR","15.2","1","15.2"
"53","Mike Gesicki","MIA","TE","14.8","1","14.8"
"54","Michael Gallup","DAL","WR","14.6","1","14.6"
"55","Melvin Gordon III","DEN","RB","14.2","1","14.2"
"56","Keke Coutee","HOU","WR","14.1","1","14.1"
"56","Mike Glennon","JAC","QB","14.1","1","14.1"
"58","Miami Dolphins","MIA","DST","14.0","1","14.0"
"58","James Washington","PIT","WR","14.0","1","14.0"
"58","Jacksonville Jaguars","JAC","DST","14.0","1","14.0"
"58","Dustin Hopkins","WAS","K","14.0","1","14.0"
"58","Jason Sanders","MIA","K","14.0","1","14.0"
"63","Wayne Gallman","NYG","RB","13.5","1","13.5"
"63","Adam Thielen","MIN","WR","13.5","1","13.5"
"65","Darrell Henderson","LAR","RB","13.4","1","13.4"
"66","Mitchell Trubisky","CHI","QB","13.3","1","13.3"
"67","Tyler Boyd","CIN","WR","13.2","1","13.2"
"68","J.K. Dobbins","BAL","RB","13.1","1","13.1"
"68","Diontae Johnson","PIT","WR","13.1","1","13.1"
"70","Minnesota Vikings","MIN","DST","13.0","1","13.0"
"70","New York Giants","NYG","DST","13.0","1","13.0"
"72","Drew Lock","DEN","QB","12.9","1","12.9"
"72","Matt Ryan","ATL","QB","12.9","1","12.9"
"74","Laviska Shenault Jr.","JAC","WR","12.8","1","12.8"
"74","Gabriel Davis","BUF","WR","12.8","1","12.8"
"76","Henry Ruggs III","LV","WR","12.4","1","12.4"
"76","Jarvis Landry","CLE","WR","12.4","1","12.4"
"78","Cordarrelle Patterson","CHI","WR","12.3","1","12.3"
"78","Quintez Cephus","DET","WR","12.3","1","12.3"
"80","Myles Gaskin","MIA","RB","12.1","1","12.1"
"81","Younghoe Koo","ATL","K","12.0","1","12.0"
"81","Indianapolis Colts","IND","DST","12.0","1","12.0"
"81","Cody Parkey","CLE","K","12.0","1","12.0"
"84","Kenyan Drake","ARI","RB","11.8","1","11.8"
"85","Greg Ward","PHI","WR","11.7","1","11.7"
"86","Amari Cooper","DAL","WR","11.3","1","11.3"
"87","DeAndre Hopkins","ARI","WR","11.2","1","11.2"
"88","Russell Gage","ATL","WR","11.1","1","11.1"
"89","Los Angeles Rams","LAR","DST","11.0","1","11.0"
"90","Calvin Ridley","ATL","WR","10.8","1","10.8"
"91","Jalen Reagor","PHI","WR","10.5","1","10.5"
"91","Michael Thomas","NO","WR","10.5","1","10.5"
"91","Tre'Quan Smith","NO","WR","10.5","1","10.5"
"94","David Johnson","HOU","RB","10.4","1","10.4"
"95","Jalen Hurts","PHI","QB","10.3","1","10.3"
"96","Chad Hansen","HOU","WR","10.1","1","10.1"
"96","Gus Edwards","BAL","RB","10.1","1","10.1"
"98","Justin Tucker","BAL","K","10.0","1","10.0"
"98","Green Bay Packers","GB","DST","10.0","1","10.0"
"98","Ka'imi Fairbairn","HOU","K","10.0","1","10.0"
"98","Tyler Bass","BUF","K","10.0","1","10.0"
"102","Marquise Brown","BAL","WR","9.9","1","9.9"
"102","Robert Tonyan","GB","TE","9.9","1","9.9"
"104","Miles Boykin","BAL","WR","9.8","1","9.8"
"105","Cole Kmet","CHI","TE","9.7","1","9.7"
"106","Damien Harris","NE","RB","9.5","1","9.5"
"106","Ezekiel Elliott","DAL","RB","9.5","1","9.5"
"108","Colt McCoy","NYG","QB","9.4","1","9.4"
"108","Brandon Allen","CIN","QB","9.4","1","9.4"
"108","Julio Jones","ATL","WR","9.4","1","9.4"
"111","Stefon Diggs","BUF","WR","9.2","1","9.2"
"111","Cam Sims","WAS","WR","9.2","1","9.2"
"111","Jordan Reed","SF","TE","9.2","1","9.2"
"111","Nyheim Hines","IND","RB","9.2","1","9.2"
"115","Isaiah McKenzie","BUF","WR","9.1","1","9.1"
"116","Nick Folk","NE","K","9.0","1","9.0"
"116","Seattle Seahawks","SEA","DST","9.0","1","9.0"
"118","Jared Cook","NO","TE","8.8","1","8.8"
"118","Tyreek Hill","KC","WR","8.8","1","8.8"
"120","Dawson Knox","BUF","TE","8.7","1","8.7"
"121","Collin Johnson","JAC","WR","8.6","1","8.6"
"122","Robert Woods","LAR","WR","8.5","1","8.5"
"123","Tyler Higbee","LAR","TE","8.4","1","8.4"
"123","T.J. Hockenson","DET","TE","8.4","1","8.4"
"125","Devin Singletary","BUF","RB","8.3","1","8.3"
"125","Peyton Barber","WAS","RB","8.3","1","8.3"
"127","MyCole Pruitt","TEN","TE","8.2","1","8.2"
"128","Dan Bailey","MIN","K","8.0","1","8.0"
"128","Matt Gay","LAR","K","8.0","1","8.0"
"128","D.K. Metcalf","SEA","WR","8.0","1","8.0"
"128","Las Vegas Raiders","LV","DST","8.0","1","8.0"
"128","Daniel Carlson","LV","K","8.0","1","8.0"
"133","J.D. McKissic","WAS","RB","7.8","1","7.8"
"134","Jeremy McNichols","TEN","RB","7.7","1","7.7"
"135","Deebo Samuel","SF","WR","7.6","1","7.6"
"136","N'Keal Harry","NE","WR","7.5","1","7.5"
"136","Allen Robinson II","CHI","WR","7.5","1","7.5"
"138","Josh Adams","NYJ","RB","7.4","1","7.4"
"138","Cameron Batson","TEN","WR","7.4","1","7.4"
"140","Cooper Kupp","LAR","WR","7.3","1","7.3"
"141","C.J. Ham","MIN","RB","7.2","1","7.2"
"142","Kyle Juszczyk","SF","RB","7.1","1","7.1"
"143","Rodrigo Blankenship","IND","K","7.0","1","7.0"
"143","Mason Crosby","GB","K","7.0","1","7.0"
"143","Cairo Santos","CHI","K","7.0","1","7.0"
"143","Robbie Gould","SF","K","7.0","1","7.0"
"143","Philadelphia Eagles","PHI","DST","7.0","1","7.0"
"148","Jesse James","DET","TE","6.9","1","6.9"
"149","Eric Ebron","PIT","TE","6.8","1","6.8"
"149","Austin Ekeler","LAC","RB","6.8","1","6.8"
"151","A.J. Brown","TEN","WR","6.7","1","6.7"
